feature,coefficient
shop_total,-3.088164889252938
auto_jsonld_field_count,-2.53477307378943
auto_clinical_keyword_count,-2.0629377287778707
six_C_total,-1.778518939060524
auto_text_length,1.0897350421598948
auto_cert_keyword_first_position,-0.9515119934825513
six_D_total,0.9180305879603878
auto_numeric_specificity_ratio,0.8699839948437672
auto_section_count,0.8578087398208264
six_B_total,0.8334989249240516
auto_price_krw,-0.755515845971278
auto_paragraph_count,-0.6362926260800077
news_total,-0.6296087584638514
auto_table_count,-0.4819719579438366
auto_ambiguous_term_count,0.44354033541256904
auto_cert_keyword_count,0.2397076820841403
blog_total,-0.23133702872773113
auto_explicit_number_count,0.1788100666475832
auto_list_item_count,0.15814146998351364
repeat_idx,0.1383154481083864
six_A_total,-0.07151490984918442
auto_image_count,-0.026936499188439107
six_total,0.0
cafe_total,0.0
